Text,Year,Month (1 to 12),Date,Hour (From 0 to 23),Minutes,Queue Schedule,Post Type,Video Title,Video URL,Thumbnail URL,Subtitles URL,Subtitles Language,Subtitles Auto-Sync,Privacy Status,Category,Playlist,Tags,License,Embeddable,Notify Subscribers,Made For Kids
"Social media scheduling is benficial to post content on time, without delays and the best time to get maximum reach.",2023,11,18,12,0,,VIDEO,Choose a good title. 'Benefits of Consistent Social Media Scheduling',,,,,,PUBLIC,,,"social media,scheduling,social media manager",YOUTUBE,Yes,Yes,Yes
"""Sunday celebrated well! #trending"". This post will go out as YouTube SHORTS.",2023,11,18,12,0,,SHORTS,"Choose a good title. ""Happy Sunday""",,,,,,,,,"social media,scheduling,social media manager",YOUTUBE,Yes,Yes,No
"""Claire went live with her team. #teamgoals #live"". This post will go out as YouTube SHORTS. ",2023,11,18,12,0,,SHORTS,"Choose a good title. ""Claire and Team""",,,,,,,,,"teams,live session",YOUTUBE,Yes,Yes,No
This row is an example of a video marked UNLISTED under privacy status..,2023,11,18,12,0,,VIDEO,Choose a good title.,,,,,,UNLISTED,,,,,,,
This row is an example of a video marked PRIVATE under privacy status.,2023,11,18,12,0,,VIDEO,Choose a good title.,,,,,,PRIVATE,,,,,,,
This row is an example of a video marked CREATIVE under License.,2023,11,18,12,0,,VIDEO,Choose a good title.,,,,,,,,,,CREATIVE,Yes,Yes,No
This row is an example of a video with a Playlist ID mentioned.,2023,11,18,12,0,,SHORTS,Choose a good title.,,,,,,,,PLR96iS5aFMvSNZYlvL4cG4J-z_2B_w8et,,,Yes,Yes,No
This row is an example of a video with a Category ID mentioned.,2023,11,18,12,0,,VIDEO,Choose a good title.,,,,,,,1,,,,Yes,Yes,No
This bulk upload post will follow the rules of Auto-Queue Next,,,,,,QNEXT,,,,,,,,,,,,,,,
This bulk upload post will follow the rules of Auto-Queue Last,,,,,,QLAST,,,,,,,,,,,,,,,
